Image,Predicted Bbox,Confidence,Ground Truth Bbox,IoU
1001,"(838, 186, 999, 229)",0.6643182,"[282, 120, 842, 310]",0.001520092619596822
1001,"(442, 119, 832, 314)",0.4229624,"[282, 120, 842, 310]",0.683894785417628
1006,"(381, 178, 777, 315)",0.78458744,"[348, 157, 800, 343]",0.6453040251213246
1006,"(0, 311, 306, 497)",0.7529778,"[348, 157, 800, 343]",0.0
1008,"(468, 330, 854, 370)",0.8100151,"[239, 335, 853, 368]",0.5524633647867113
1008,"(468, 330, 854, 370)",0.8100151,"[91, 42, 428, 105]",0.0
1008,"(473, 32, 860, 102)",0.60842454,"[239, 335, 853, 368]",0.0
1008,"(473, 32, 860, 102)",0.60842454,"[91, 42, 428, 105]",0.0
1008,"(87, 42, 425, 95)",0.58016634,"[239, 335, 853, 368]",0.0
1008,"(87, 42, 425, 95)",0.58016634,"[91, 42, 428, 105]",0.8255374714358998
1008,"(328, 146, 586, 179)",0.4742295,"[239, 335, 853, 368]",0.0
1008,"(328, 146, 586, 179)",0.4742295,"[91, 42, 428, 105]",0.0
1013,"(193, 311, 433, 365)",0.8968075,"[203, 125, 606, 213]",0.0
1013,"(193, 311, 433, 365)",0.8968075,"[434, 311, 586, 361]",0.0
1013,"(193, 311, 433, 365)",0.8968075,"[194, 310, 437, 363]",0.9267019610767281
1013,"(193, 311, 433, 365)",0.8968075,"[634, 354, 937, 402]",0.0
1013,"(434, 312, 585, 365)",0.8677781,"[203, 125, 606, 213]",0.0
1013,"(434, 312, 585, 365)",0.8677781,"[434, 311, 586, 361]",0.9018771331058021
1013,"(434, 312, 585, 365)",0.8677781,"[194, 310, 437, 363]",0.0073809638670461674
1013,"(434, 312, 585, 365)",0.8677781,"[634, 354, 937, 402]",0.0
1013,"(212, 124, 599, 211)",0.8215917,"[203, 125, 606, 213]",0.9283423056539567
1013,"(212, 124, 599, 211)",0.8215917,"[434, 311, 586, 361]",0.0
1013,"(212, 124, 599, 211)",0.8215917,"[194, 310, 437, 363]",0.0
1013,"(212, 124, 599, 211)",0.8215917,"[634, 354, 937, 402]",0.0
1013,"(690, 357, 936, 402)",0.4559717,"[203, 125, 606, 213]",0.0
1013,"(690, 357, 936, 402)",0.4559717,"[434, 311, 586, 361]",0.0
1013,"(690, 357, 936, 402)",0.4559717,"[194, 310, 437, 363]",0.0
1013,"(690, 357, 936, 402)",0.4559717,"[634, 354, 937, 402]",0.7611386138613861
1017,"(606, 279, 847, 357)",0.87027884,"[394, 114, 725, 174]",0.0
1017,"(606, 279, 847, 357)",0.87027884,"[600, 278, 848, 352]",0.8995755995295802
1017,"(606, 279, 847, 357)",0.87027884,"[258, 300, 600, 361]",0.0
1017,"(257, 300, 606, 363)",0.819127,"[394, 114, 725, 174]",0.0
1017,"(257, 300, 606, 363)",0.819127,"[600, 278, 848, 352]",0.007794738551477752
1017,"(257, 300, 606, 363)",0.819127,"[258, 300, 600, 361]",0.9488334015554646
1017,"(391, 116, 727, 171)",0.6518549,"[394, 114, 725, 174]",0.9041470076980382
1017,"(391, 116, 727, 171)",0.6518549,"[600, 278, 848, 352]",0.0
1017,"(391, 116, 727, 171)",0.6518549,"[258, 300, 600, 361]",0.0
1017,"(0, 0, 72, 38)",0.6029676,"[394, 114, 725, 174]",0.0
1017,"(0, 0, 72, 38)",0.6029676,"[600, 278, 848, 352]",0.0
1017,"(0, 0, 72, 38)",0.6029676,"[258, 300, 600, 361]",0.0
1017,"(0, 88, 44, 146)",0.60223037,"[394, 114, 725, 174]",0.0
1017,"(0, 88, 44, 146)",0.60223037,"[600, 278, 848, 352]",0.0
1017,"(0, 88, 44, 146)",0.60223037,"[258, 300, 600, 361]",0.0
1017,"(137, 321, 264, 360)",0.5079139,"[394, 114, 725, 174]",0.0
1017,"(137, 321, 264, 360)",0.5079139,"[600, 278, 848, 352]",0.0
1017,"(137, 321, 264, 360)",0.5079139,"[258, 300, 600, 361]",0.00914741409639967
1022,"(519, 239, 913, 340)",0.7991385,"[618, 302, 737, 324]",0.06578881238377644
1022,"(519, 239, 913, 340)",0.7991385,"[93, 230, 910, 365]",0.35706793974574585
1022,"(96, 263, 472, 374)",0.5470339,"[618, 302, 737, 324]",0.0
1022,"(96, 263, 472, 374)",0.5470339,"[93, 230, 910, 365]",0.3373710183938986
1024,"(567, 226, 902, 336)",0.8222563,"[149, 242, 885, 334]",0.38849494064217993
1024,"(166, 229, 555, 344)",0.73315096,"[149, 242, 885, 334]",0.46684668466846685
1444,"(216, 422, 575, 485)",0.85571164,"[125, 219, 906, 293]",0.0
1444,"(216, 422, 575, 485)",0.85571164,"[124, 409, 574, 483]",0.6408051879456557
1444,"(503, 220, 889, 295)",0.7109968,"[125, 219, 906, 293]",0.48113239763685417
1444,"(503, 220, 889, 295)",0.7109968,"[124, 409, 574, 483]",0.0
1444,"(124, 222, 500, 297)",0.6754848,"[125, 219, 906, 293]",0.44846637133857736
1444,"(124, 222, 500, 297)",0.6754848,"[124, 409, 574, 483]",0.0
1448,"(587, 263, 857, 423)",0.72532004,"[181, 185, 572, 342]",0.0
1450,"(390, 308, 548, 328)",0.6563197,"[638, 151, 704, 174]",0.0
1450,"(390, 308, 548, 328)",0.6563197,"[636, 205, 716, 234]",0.0
1450,"(390, 308, 548, 328)",0.6563197,"[376, 340, 470, 361]",0.0
1450,"(390, 308, 548, 328)",0.6563197,"[469, 353, 648, 375]",0.0
1450,"(387, 247, 543, 268)",0.63984954,"[638, 151, 704, 174]",0.0
1450,"(387, 247, 543, 268)",0.63984954,"[636, 205, 716, 234]",0.0
1450,"(387, 247, 543, 268)",0.63984954,"[376, 340, 470, 361]",0.0
1450,"(387, 247, 543, 268)",0.63984954,"[469, 353, 648, 375]",0.0
1450,"(710, 344, 793, 368)",0.58370495,"[638, 151, 704, 174]",0.0
1450,"(710, 344, 793, 368)",0.58370495,"[636, 205, 716, 234]",0.0
