                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9337,                  2.698,                 2.6945,                0.00453,                0.29921,                0.00303,                0.00086,                 4.0824,                 62.082,                 5.2494,               0.070361,              0.0032932,              0.0032932
                      2,                  2.405,                 1.9196,                 1.7957,                0.30938,                0.35464,                0.24098,                0.09496,                 2.2998,                 1.9674,                 1.8938,                0.04034,              0.0066046,              0.0066046
                      3,                 2.0666,                 1.6749,                 1.5856,                0.20806,                0.25339,                0.13804,                0.05874,                 2.1771,                 3.8272,                 1.9289,               0.010296,              0.0098941,              0.0098941
                      4,                 1.9199,                 1.5586,                 1.4964,                 0.3752,                0.40781,                0.30319,                 0.1426,                 1.8909,                 2.4666,                 1.6964,               0.009901,               0.009901,               0.009901
                      5,                 1.8378,                  1.486,                 1.4509,                0.41132,                0.44061,                0.36866,                0.15833,                 1.9197,                 1.7348,                 1.7133,               0.009868,               0.009868,               0.009868
                      6,                 1.7742,                 1.4345,                 1.4168,                0.12977,                 0.5181,                0.10626,                0.04815,                 1.8278,                 6.9768,                 1.6536,               0.009835,               0.009835,               0.009835
                      7,                 1.7024,                 1.3783,                 1.3787,                0.55945,                0.47907,                0.47192,                0.24755,                 1.6702,                 1.8965,                 1.4875,               0.009802,               0.009802,               0.009802
                      8,                 1.6945,                 1.3554,                 1.3732,                0.50627,                0.50622,                0.46284,                0.24258,                 1.6884,                 1.7975,                 1.4947,               0.009769,               0.009769,               0.009769
                      9,                 1.6152,                 1.2707,                 1.3229,                0.56692,                0.56278,                0.53413,                0.27823,                 1.5989,                 1.3862,                 1.4447,               0.009736,               0.009736,               0.009736
                     10,                 1.5894,                 1.2915,                 1.3207,                0.61371,                0.55893,                0.57165,                0.29807,                 1.6233,                 1.3864,                 1.4223,               0.009703,               0.009703,               0.009703
                     11,                 1.5832,                 1.2568,                 1.3112,                0.54266,                0.53394,                 0.5091,                0.26736,                 1.6051,                 1.6441,                 1.5841,                0.00967,                0.00967,                0.00967
                     12,                 1.5786,                 1.2423,                 1.3092,                0.56762,                  0.496,                0.51696,                0.27276,                 1.6196,                 1.4644,                 1.4406,               0.009637,               0.009637,               0.009637
                     13,                 1.5497,                  1.225,                 1.2873,                0.56814,                0.54915,                0.52835,                0.27159,                 1.6309,                 1.4111,                 1.4396,               0.009604,               0.009604,               0.009604
                     14,                 1.5297,                 1.2336,                 1.2881,                0.59819,                0.63575,                0.60639,                0.33261,                 1.4917,                 1.3939,                 1.3572,               0.009571,               0.009571,               0.009571
                     15,                  1.544,                  1.228,                 1.2914,                0.59317,                 0.6267,                0.60021,                0.33401,                 1.4959,                 1.2494,                 1.3641,               0.009538,               0.009538,               0.009538
                     16,                 1.5247,                 1.2241,                 1.2716,                0.60855,                  0.556,                0.57083,                0.30165,                 1.5926,                 1.3024,                 1.4014,               0.009505,               0.009505,               0.009505
                     17,                 1.4914,                 1.1845,                 1.2588,                0.60923,                0.60934,                0.60133,                0.32177,                   1.55,                 1.2408,                 1.3622,               0.009472,               0.009472,               0.009472
                     18,                    1.5,                 1.1766,                 1.2621,                0.58277,                0.62387,                0.60601,                 0.3304,                 1.5306,                 1.2621,                 1.3485,               0.009439,               0.009439,               0.009439
                     19,                 1.4703,                 1.1455,                 1.2401,                0.59589,                0.63636,                0.60954,                 0.3356,                 1.4894,                 1.1563,                 1.3196,               0.009406,               0.009406,               0.009406
                     20,                 1.4536,                 1.1454,                 1.2402,                0.53929,                0.56844,                0.50837,                0.27777,                 1.4536,                 1.2626,                 1.3085,               0.009373,               0.009373,               0.009373
                     21,                 1.4572,                 1.1408,                 1.2492,                0.58283,                0.59504,                0.57165,                 0.3159,                 1.5093,                 1.9484,                 1.3306,                0.00934,                0.00934,                0.00934
                     22,                 1.4526,                 1.1396,                 1.2424,                 0.6121,                0.62783,                0.60838,                0.34477,                 1.4685,                  1.226,                 1.3232,               0.009307,               0.009307,               0.009307
                     23,                 1.4226,                 1.1262,                 1.2231,                0.61204,                0.62907,                0.61077,                0.34315,                 1.4774,                  1.203,                 1.3152,               0.009274,               0.009274,               0.009274
                     24,                 1.4362,                 1.1169,                 1.2255,                0.59718,                0.59276,                0.59699,                0.33265,                 1.4748,                 1.2768,                 1.3499,               0.009241,               0.009241,               0.009241
                     25,                 1.4161,                  1.124,                 1.2199,                0.60464,                0.63577,                 0.6123,                 0.3523,                  1.445,                 1.1527,                 1.2983,               0.009208,               0.009208,               0.009208
                     26,                 1.4053,                 1.1028,                 1.2179,                0.63206,                 0.6448,                0.64843,                0.37935,                 1.4001,                 1.1076,                 1.2675,               0.009175,               0.009175,               0.009175
                     27,                 1.4006,                 1.1044,                 1.2123,                0.61763,                0.65158,                0.63197,                0.37042,                 1.4015,                 1.1945,                  1.295,               0.009142,               0.009142,               0.009142
                     28,                 1.4199,                 1.0963,                  1.221,                0.62162,                0.63688,                0.63441,                0.36804,                 1.4074,                 1.1226,                 1.2736,               0.009109,               0.009109,               0.009109
